,ATC_Code,cids,Compound_Name
706,V09IX09,145994621,Gallium (68Ga) edotreotide
707,B03BA03,146014417,Hydroxocobalamin
708,A06AH01,146018922,Methylnaltrexone bromide
709,B03AB10,146025948,Ferric maltol
710,B02AB01,146027575,Aprotinin
711,A02BX01,146036893,Carbenoxolone
712,A07AA02,146156144,Nystatin
713,C01AA09,146156229,Gitoformate
714,B03BA03,146156970,Hydroxocobalamin
715,D11AH02,146157034,Pimecrolimus
716,D06AX07,146157093,Gentamicin
717,L01DC02,146157736,Plicamycin
718,J01FA08,146158448,Troleandomycin
719,J01FA03,146158698,Midecamycin
720,G03CA09,146158817,Promestriene
721,C01BA12,146158974,Lorajmine
722,C01AC03,146159039,Cymarin
723,L01DB05,146159143,Zorubicin
724,J01FA13,146159353,Dirithromycin
725,A11CC02,146159466,Dihydrotachysterol
726,D11AX22,146159550,Ivermectin
727,P01BE02,146159596,Artemether
728,A01AB10,146159711,Natamycin
729,P01BE03,146160078,Artesunate
730,J05AP05,146160179,Simeprevir
731,C09AA09,146160312,Fosinopril
732,J01AA04,146160332,Lymecycline
733,A02BX10,14652,Zolimidine
734,N06AB10,146570,Escitalopram
735,J01FA03,146674658,Midecamycin
736,A10AB01,146674665,Insulin (human)
737,N05AX07,14670,Prothipendyl
738,R06AD04,14677,Methdilazine
739,N02AD02,14707,Phenazocine
740,B06AC02,14724482,Icatibant
741,B05XA14,14754,Sodium glycerophosphate
742,A04AA02,14788250,Granisetron
743,L01BA05,148121,Pralatrexate
744,L01CD02,148124,Docetaxel
745,L01EG01,148191,Temsirolimus
746,J05AE08,148192,Atazanavir
747,L01XX27,14888,Arsenic trioxide
748,J01MA12,149096,Levofloxacin
749,A07AA02,14960,Nystatin
750,A07AA09,14969,Vancomycin
751,A05BA08,14982,Glycyrrhizic acid
752,N01AX04,15004,Propanidid
753,G03BB01,15020,Mesterolone
754,C10AX09,150311,Ezetimibe
755,J01DH03,150610,Ertapenem
756,S01BC10,151075,Nepafenac
757,M01AH06,151166,Lumiracoxib
758,C03XA02,151171,Conivaptan
759,N07BC03,15130,Levacetylmethadol
760,A07AA12,151383,Fidaxomicin
761,N05AD09,15139,Fluanisone
762,D07AC07,15209,Fludroxycortide
763,R05CA08,15218527,Creosote
764,J02AX06,15224271,Anidulafungin
765,J02AX06,152743198,Anidulafungin
766,B03BA04,152743316,Cobamamide
767,B03BA03,152743320,Hydroxocobalamin
768,B03BA01,152743321,Cyanocobalamin
769,L01CD01,152743329,Paclitaxel
770,A01AB10,152743428,Natamycin
771,L01EG01,152772378,Temsirolimus
772,J01MA14,152946,Moxifloxacin
773,J04AB02,153274061,Rifampicin
774,J01FA02,153274329,Spiramycin
775,A04AD01,153311,Scopolamine
776,P02CX03,153640463,Moxidectin
777,C04AX07,15376,Vincamine
778,N05AD03,15387,Melperone
779,V08CA03,153921,Gadodiamide
780,C08CA16,153994,Clevidipine
781,G04BD08,154059,Solifenacin
782,N06BA11,154101,Dexmethylphenidate
783,J05AH03,154234,Peramivir
784,G03XC02,154257,Bazedoxifene
785,G03XC04,154413,Ormeloxifene
786,A03BA03,154417,Hyoscyamine
787,V08CA09,154573744,Gadobutrol
788,L01XH02,154574495,Romidepsin
789,L01EG01,154575198,Temsirolimus
790,J02AX06,154701576,Anidulafungin
791,A11CC06,154701710,Calcifediol
792,B03BA04,154701814,Cobamamide
793,A11CC02,154701841,Dihydrotachysterol
794,B03AB10,154723937,Ferric maltol
795,C09AA09,154723946,Fosinopril
796,A10BX01,154724046,Guar gum
797,V08CA08,154728194,Gadobenic acid
798,L03AX01,154730763,Lentinan
799,C01BA12,154730834,Lorajmine
800,J01AA04,154730852,Lymecycline
801,C03BC01,154730908,Mersalyl
802,J01FA05,154731039,Oleandomycin
803,A07AA02,154731068,Nystatin
804,V03AB35,154731980,Sugammadex
805,H01CB03,154734381,Lanreotide
806,N07CA02,1547484,Cinnarizine
807,P02CX03,154825546,Moxidectin
808,J04AB02,154825551,Rifampicin
809,M01AB02,1548887,Sulindac
810,M02AB02,1548942,Zucapsaicin
811,M02AB01,1548943,Capsaicin
812,G03GB02,1548953,Clomifene
813,G03GB02,1548955,Clomifene
814,C10AA04,1548972,Fluvastatin
815,A05BA03,1548994,Silymarin
816,R06AE09,1549000,Levocetirizine
817,D01AE15,1549008,Terbinafine
818,R02AA01,1549158,Ambazone
819,N07BA04,1549781,Cytisine
820,A03BB02,1550101,Methylatropine
821,M02AX05,1550874,Idrocilamide
822,J01DI02,155292829,Ceftaroline fosamil
823,J01XX04,15541,Spectinomycin
824,P03AC02,15558638,Bioallethrin
825,J01CE04,15574941,Azidocillin
826,B03BA05,15575651,Mecobalamin
827,C01CX07,155774,Xamoterol
828,V08CA09,155802509,Gadobutrol
829,J04AB04,155903168,Rifabutin
830,V08CA09,155903675,Gadobutrol
831,M03AA01,155903687,Alcuronium
832,L01DC01,155903698,Bleomycin
833,B03BA03,155903721,Hydroxocobalamin
834,H01CB02,155903738,Octreotide
835,D07AC18,155903745,Prednicarbate
836,V03AB35,155903755,Sugammadex
837,V08CA09,155907170,Gadobutrol
838,P01BE03,156252,Artesunate
839,V09AB01,156375,Iodine iofetamine (123I)
840,G02CC02,156391,Naproxen
841,H05BX01,156419,Cinacalcet
842,R02AA03,15684,Dichlorobenzyl alcohol
843,A06AD12,157355,Lactitol
844,V09BA02,157443,Technetium (99mTc) medronic acid
845,L01CA05,157688,Vinflunine
846,B05CA08,15789,Ethacridine lactate
847,A06AX03,157920,Lubiprostone
848,L01XD03,157922,Methyl aminolevulinate
849,V08CA09,15814656,Gadobutrol
850,V08CA02,158536,Gadoteric acid
851,C01EB02,159055,Camphora
852,D01AE06,15907,2-(4-chlorphenoxy)-ethanol
853,J05AF11,159269,Telbivudine
854,C01BA04,15939859,Sparteine
855,A11CC06,1593,Calcifediol
856,V09AX04,15950376,Flutemetamol (18F)
857,L02BB04,15951529,Enzalutamide
858,B06AB01,15953900,Hemin
859,N04BC03,159729,Dihydroergocryptine mesylate
860,J05AR07,15979285,"Stavudine, lamivudine and nevirapine"
861,A02BC08,15981397,Vonoprazan
862,C02KX04,16004692,Macitentan
863,C10AC04,160051,Colesevelam
864,J01DI02,16007393,Ceftaroline fosamil
865,C10AB10,160134,Clofibride
866,A03AB19,160243,Timepidium bromide
867,P01BF03,16045195,Artesunate and amodiaquine
868,H01BA02,16051933,Desmopressin
869,J02AX04,16051945,Caspofungin
870,D11AH02,16051947,Pimecrolimus
871,B03BA03,16056828,Hydroxocobalamin
872,L01AG01,16058,Etoglucid
873,J05AP06,16076883,Asunaprevir
874,A04AD10,16078,Dronabinol
875,A06AH01,16088037,Methylnaltrexone bromide
876,A03BB01,160883,Butylscopolamine
877,A06AH01,16089914,Methylnaltrexone bromide
878,C10AD04,16098,Aluminium nicotinate
879,A01AB10,16102132,Natamycin
880,J02AX04,16119814,Caspofungin
881,J05AX24,16124688,Tecovirimat
882,H01AC04,16129620,Sermorelin
883,J01XX09,16129629,Daptomycin
884,J01XA05,16129632,Oritavancin
885,V04CC04,16129675,Ceruletide
886,H01CB01,16129681,Somatostatin
887,J01XX09,16129688,Daptomycin
888,B01AE01,16129703,Desirudin
889,B01AE06,16129704,Bivalirudin
890,H01CB01,16129706,Somatostatin
891,R02AB30,16130140,Gramicidin
892,B02AB01,16130295,Aprotinin
893,H01CC01,16130957,Ganirelix
894,L02BX01,16131215,Abarelix
895,H01AA01,16132265,Corticotropin
896,R02AB30,16132269,Gramicidin
897,H04AA01,16132283,Glucagon
898,V04CD05,16132353,Somatorelin
899,H01AC04,16132413,Sermorelin
900,A10AB04,16132438,Insulin lispro
901,J01XX09,16134395,Daptomycin
902,J01XA04,16134410,Dalbavancin
903,J01XA04,16134627,Dalbavancin
904,A10BJ02,16134956,Liraglutide
905,N02BG08,16135415,Ziconotide
906,L02BX02,16136245,Degarelix
907,J01XA05,16136912,Oritavancin
908,A10AE05,16137271,Insulin detemir
909,A16AX08,16139605,Teduglutide
910,A06AX04,16158208,Linaclotide
911,H01CB01,16161315,Somatostatin
912,A05BA07,161685,Tidiacic arginine
913,M01CB02,161780,Sodium aurotiosulfate
914,V04CD04,16186200,Corticorelin
915,D02BB02,16197727,Afamelanotide
916,G04CX04,16207730,Fexapotide
917,J04AA02,16211148,Sodium aminosalicylate
918,V08CA01,16212436,Gadopentetic acid
919,C01BA04,16212687,Sparteine
920,A05BA08,16213698,Glycyrrhizic acid
921,A06AD11,16217605,Lactulose
922,A02BX04,16217806,Methiosulfonium chloride
923,C03DA02,16219160,Potassium canrenoate
924,A07AA02,16219709,Nystatin
925,R07AX02,16220172,Ivacaftor
926,L01EE02,16222096,Cobimetinib
927,R01BA01,162265,Phenylpropanolamine
928,D08AJ10,162290,Decamethoxine
929,R03DA08,16229,Bamifylline
930,C03DB01,16231,Amiloride
931,A07EA05,162955,Tixocortol
932,N05AH05,163091,Asenapine
933,N05AH06,16351,Clotiapine
934,N05AG02,16362,Pimozide
935,N05AD07,16363,Benperidol
936,L01DC02,163659,Plicamycin
937,P01BE03,16394563,Artesunate
938,A05BA08,16395512,Glycyrrhizic acid
939,A04AD01,16399351,Scopolamine
940,P01BE05,16399850,Artenimol
941,C01BA13,16401293,Hydroquinidine
942,R06AD05,16406,Hydroxyethylpromethazine
943,C07AB14,164457,Landiolol
944,C03BA12,16473,Clorexolone
945,D07AB03,16490,Flumetasone
946,A03AA09,165124,Difemerine
947,A05BA01,165268,Arginine glutamate
948,A04AD02,165565,Cerium oxalate
949,A07AA06,165580,Paromomycin
950,C02CC03,16564,Guanoxan
951,C10AX05,1662,Meglutol
952,M01AA02,16639,Mofebutazone
953,J02AX06,166548,Anidulafungin
954,A11CC06,166583,Calcifediol
955,M01CB03,16667669,Auranofin
956,J01FA15,16667730,Telithromycin
957,A07AA11,16667733,Rifaximin
958,H01BB03,16681432,Carbetocin
959,P01AR03,16682839,Glycobiarsol
960,P02BX03,16683008,Stibophen
961,P01CB02,16683012,Sodium stibogluconate
962,C10AB03,16683028,Aluminium clofibrate
963,P02BX03,16683091,Stibophen
964,S01AX05,16683103,Bibrocathol
965,D08AK06,16684434,Thiomersal
966,V09EX02,166973,Xenon (127Xe) gas
967,L01EJ02,16722836,Fedratinib
968,N05BA05,167305,Potassium clorazepate
969,V08CA04,16757547,Gadoteridol
970,D01AC08,16757695,Ketoconazole
971,P02CX03,16760141,Moxidectin
972,A12BA05,16760467,Potassium gluconate
973,A06AD11,16760534,Lactulose
974,N02BA04,16760658,Sodium salicylate
975,L01CD01,16760674,Paclitaxel
976,C01DA38,168009,Tenitramine
977,C01BA04,168213,Sparteine
978,J05AX06,1684,Pleconaril
979,S01JA01,16850,Fluorescein
980,V03AE03,168924,Lanthanum carbonate
981,B03AB10,169535,Ferric maltol
982,R06AB06,16960,Dexbrompheniramine
983,N05AF01,17012,Flupentixol
984,N07BA03,170361,Varenicline
985,V09XX04,170848,Ferric (59Fe) citrate
986,A03AD02,1712095,Drotaverine
987,A11HA05,171548,Biotin
988,J01CA17,171758,Temocillin
989,N05AB01,17182,Dixyrazine
990,C01CX09,172198,Angiotensin II
991,C01EB07,172313,"Fructose 1,6-diphosphate"
992,N07XX07,1727,Fampridine
993,N05CA22,17336,Proxibarbal
994,V08DA05,17358,"Sulfur hexafluoride, phospholipid microspheres"
995,A03BA01,174174,Atropine
996,V08AC03,17477,Ioglycamic acid
997,A06AD15,174,Macrogol
998,B02BX01,17506,Etamsylate
999,C01EB13,17513,Acadesine
1000,C07AB11,175540,S-atenolol
1001,A04AA02,17572266,Granisetron
1002,N01BB09,175805,Ropivacaine
1003,A16AX14,176077,Migalastat
1004,J01FA08,17675,Troleandomycin
1005,N05AB07,17676,Acetophenazine
1006,L01EB02,176870,Erlotinib
1007,G01AD02,176,Acetic acid
1008,D11AH02,17753757,Pimecrolimus
1009,J01DH51,17756656,Imipenem and cilastatin
1010,N03AB02,1775,Phenytoin
1011,P01BE05,179336,Artenimol
1012,N06DX01,181458,Memantine
1013,N01AX14,182137,Esketamine
1014,J05AF04,18283,Stavudine
1015,L01EG01,18293306,Temsirolimus
1016,V08AC05,18377,Iobenzamic acid
1017,B01AE04,183797,Melagatran
1018,J01CF01,18381,Dicloxacillin
1019,A10BF01,18397995,Acarbose
1020,R06AX29,185460,Bilastine
1021,A12CC08,18601084,Magnesium pidolate
1022,N07AX03,18642481,Cevimeline
1023,N01AG01,18735,Narcobarbital
1024,J01ED09,187764,Sulfamazone
1025,S01EB09,187,Acetylcholine
1026,R01AC05,188803,Spaglumic acid
1027,C07AB12,189562,Nebivolol
1028,H02AB13,189821,Deflazacort
1029,V08CA09,189914,Gadobutrol
1030,N06AF06,19063,Iproclozide
1031,G03AC05,19090,Megestrol
1032,N05CC02,19094,Chloralodol
1033,M01AB07,19161,Bumadizone
1034,V04CX01,19190,Indocyanine green
1035,A01AB07,1923,Oxyquinoline
1036,N05CA12,19254,Reposal
1037,N06DA01,1935,Tacrine
1038,R05CB03,193653,Carbocisteine
1039,S01GX11,19371515,Alcaftadine
1040,J05AG04,193962,Etravirine
1041,R06AD08,19396,Oxomemazine
1042,N06AF04,19493,Tranylcypromine
1043,N06BA10,19527,Fenetylline
1044,J01ED03,19596,Sulfametomidine
1045,C05AX05,196122,Tribenoside
1046,P01AX08,19646,Tenonitrozole
1047,A07AA04,19649,Streptomycin
1048,P02CX02,19667,Bephenium
1049,A03AX01,197785,Fenpiprane
1050,C07AB04,1978,Acebutolol
1051,S01EB08,1979,Aceclidine
1052,B03AA03,198008,Ferrous gluconate
1053,N04AA12,198068,Tropatepine
1054,M01AB11,1981,Acemetacin
1055,J01FA05,19822,Oleandomycin
1056,N02BE01,1983,Paracetamol
1057,A07AX02,1985,Acetarsol
1058,R06AX09,19861,Azatadine
1059,S01EC01,1986,Acetazolamide
1060,A10BB31,1989,Acetohexamide
1061,G04BX03,1990,Acetohydroxamic acid
1062,J01XX07,19910,Nitroxoline
1063,V04CX03,1993,Methacholine
1064,A07AA05,199402,Polymyxin B
1065,N07CA04,1995,Acetylleucine
1066,N06BX12,1,Acetylcarnitine
1067,P01BE02,20054835,Artemether
1068,C02AA07,20054848,Bietaserpine
1069,A03BB05,20054870,Cimetropium bromide
1070,H02AB11,20055008,Prednylidene
1071,J01CA16,20055036,Sulbenicillin
1072,B03BA04,20055083,Cobamamide
1073,N04AC30,20055089,Etybenzatropine
1074,C01AA09,20055283,Gitoformate
1075,N02CB01,20055352,Flumedroxone
1076,A11DA02,20055424,Sulbutiamine
1077,L01AB03,20055482,Mannosulfan
1078,G03AC07,20056623,Norgestrienone
1079,C01AX02,20056639,Peruvoside
1080,A16AX13,20058,Uridine triacetate
1081,A03AA06,20059462,Rociverine
1082,P01BE01,20105830,Artemisinin
1083,N05CM13,20140,Valnoctamide
1084,J01GA02,202223,Streptoduocin
1085,J01FA08,202225,Troleandomycin
1086,L01BB04,20279,Cladribine
1087,A03AB08,20299,Tridihexethyl
1088,R06AX16,203911,Deptropine
1089,J01FA05,20407245,Oleandomycin
1090,A07EA07,20469,Beclometasone
1091,D07AB05,20559151,Fluperolone
1092,D01AE03,20737,Tribromometacresol
1093,A03AB18,20749,Prifinium bromide
1094,N06AB07,2081,Alaproclate
1095,J01CA03,20824,Carbenicillin
1096,P02CA03,2082,Albendazole
1097,B01AC11,20838499,Iloprost
1098,R03AC02,2083,Salbutamol
1099,C01BD07,208898,Dronedarone
1100,M05BA04,2088,Alendronic acid
1101,N05CH02,208902,Ramelteon
1102,R05DB17,208903,Droxypropine
1103,L01EH01,208908,Lapatinib
1104,A11CC03,2091,Alfacalcidol
1105,G04CA01,2092,Alfuzosin
1106,D08AC05,20977,Polihexanide
1107,M01AE16,2097,Alminoprofen
1108,A03AE01,2099,Alosetron
1109,P01AX09,21022,Dehydroemetine
1110,G01AX05,21054,Nifuratel
1111,N02BA10,21102,Benorilate
1112,C01EB15,21109,Trimetazidine
1113,M03AA01,21158560,Alcuronium
1114,B01AC09,21158562,Epoprostenol
1115,N05BA12,2118,Alprazolam
1116,V03AF09,21195079,Glucarpidase
1117,C07AA01,2119,Alprenolol
1118,L01XX03,2123,Altretamine
1119,J05AE10,213039,Darunavir
1120,J01EA03,213043,Iclaprim
1121,N05AE05,213046,Lurasidone
1122,N04BB01,2130,Amantadine
1123,J01CF05,21319,Flucloxacillin
1124,N07AA30,2131,Ambenonium
1125,R05CB06,2132,Ambroxol
1126,V08AA01,2140,Diatrizoic acid
1127,V03AF05,2141,Amifostine
1128,G01AX17,214347,Dapivirine
1129,V03AC03,214348,Deferasirox
1130,L02BG01,2145,Aminoglutethimide
1131,V04CH30,2148,Aminohippuric acid
1132,R03DA04,2153,Theophylline
1133,C01BD01,2157,Amiodarone
1134,A02AB05,21584777,Aluminium acetoacetate
1135,J01XX09,21585658,Daptomycin
1136,N05AL05,2159,Amisulpride
1137,N06AA09,2160,Amitriptyline
1138,A01AD07,2161,Amlexanox
1139,C02KX03,216235,Sitaxentan
1140,C03XA01,216237,Tolvaptan
1141,L01EX02,216239,Sorafenib
1142,C08CA01,2162,Amlodipine
1143,D02BA02,21630,Octinoxate
1144,L04AX04,216326,Lenalidomide
1145,G03XC03,216416,Lasofoxifene
1146,N05CA02,2164,Amobarbital
1147,P01BA06,2165,Amodiaquine
1148,A11CC02,21678311,Dihydrotachysterol
1149,J05AB03,21704,Vidarabine
1150,N06AA17,2170,Amoxapine
1151,D11AC09,21720,Xenysalate
1152,N06AA13,21722,Iprindole
1153,P01AC04,21723,Teclozan
1154,V08AD02,21751,Iopydol
1155,N06AA15,21772,Butriptyline
1156,A08AA09,21777,Mefenorex
1157,G01AX01,21782,Clodantoin
1158,A03AA08,21788,Dihexyverine
1159,L01XX01,2179,Amsacrine
1160,R03DA10,21850,Bufylline
1161,D04AA13,21855,Dimetindene
1162,L03AX01,21868678,Lentinan
1163,M01AX25,21873177,Chondroitin sulfate
1164,L01CA05,21874242,Vinflunine
1165,L02BG03,2187,Anastrozole
1166,J01FA15,21881641,Telithromycin
1167,G03GA02,21888462,Human menopausal gonadotrophin
1168,L03AX15,21891368,Mifamurtide
1169,C01EB21,219024,Regadenoson
1170,N03AX18,219078,Lacosamide
1171,N05BX02,219095,Gedocarnil
1172,C01CA15,219105,Gepefrine
1173,A02BX01,21913,Carbenoxolone
1174,M03AA01,21917745,Alcuronium
1175,N04AC30,21917770,Etybenzatropine
1176,C05BB03,21924868,Invert sugar
1177,M03AC10,21946438,Mivacurium chloride
1178,A16AX02,2194,Anethole trithione
1179,N06BX11,2196,Aniracetam
1180,B01AC08,21975,Carbasalate calcium
1181,R01AC04,2200,Antazoline
1182,L01EB08,22024915,Icotinib
1183,D05AC01,2202,Dithranol
1184,L01CC01,220401,Demecolcine
1185,N02BB01,2206,Phenazone
1186,A05AA03,221493,Cholic acid
1187,S01EA03,2216,Apraclonidine
1188,V03AB27,22174,4-dimethylaminophenol
1189,G03CA09,22179320,Promestriene
1190,C01BB04,2218,Aprindine
1191,C01AC03,222155,Cymarin
1192,D11AX24,222528,Deoxycholic acid
1193,A03AX02,22262,Diisopromine
1194,N07BC05,22267,Levomethadone
1195,H02AB10,222786,Cortisone
1196,A03AX10,22297,Isometheptene
1197,B02BC07,223073,Collagen
1198,M01CB01,22318,Sodium aurothiomalate
1199,N01BB05,22379,Butanilicaine
1200,N07BA04,22407,Cytisine
1201,P01BE01,2240,Artemisinin
1202,A07EC03,22419,Olsalazine
1203,R05DB11,22425,Pipazetate
1204,A01AD05,2244,Acetylsalicylic acid
1205,J01CA19,2245,Aspoxicillin
1206,R06AX11,2247,Astemizole
1207,C07AB03,2249,Atenolol
1208,J01FA15,22525209,Telithromycin
1209,R06AX15,22530,Mebhydrolin
1210,V09GA01,22617237,Technetium (99mTc) sestamibi
1211,L04AX01,2265,Azathioprine
1212,D10AX03,2266,Azelaic acid
1213,R01AC03,2267,Azelastine
1214,J01DF01,2274,Aztreonam
1215,B02AB01,22833874,Aprotinin
1216,M03AC10,22839208,Mivacurium chloride
1217,J01DF01,22842006,Aztreonam
1218,M03BX01,2284,Baclofen
1219,D07AB04,22875828,Fluocortin
1220,C04AA31,2292,Bamethan
1221,N05CA04,2294,Barbital
1222,L01DC02,230076,Plicamycin
1223,P01AB06,23009,Nimorazole
1224,S01ED06,2309,Befunolol
1225,R07AB05,2310,Bemegride
1226,C04AX11,2312,Bencyclane
1227,M02AA11,2313,Bendazac
1228,C03AA01,2315,Bendroflumethiazide
1229,A10BX06,2318,Benfluorex
1230,A11DA03,2320,Benfotiamine
1231,A01AA03,23257,Olaflur
1232,R05DB02,2326,Benproperine
1233,A01AB10,23305305,Natamycin
1234,D08AJ01,2330,Benzalkonium
1235,M04AB03,2333,Benzbromarone
1236,C01EB05,23342,Creatinolfosfate
1237,R02AA09,2335,Benzethonium
1238,C05AD03,2337,Benzocaine
1239,M02AX05,23397,Idrocilamide
1240,C10AX03,23403,Tiadenol
1241,P03AX01,2345,Benzyl benzoate
1242,G04BD05,23480,Terodiline
1243,N04BA04,23497,Melevodopa
1244,C08EA02,2351,Bepridil
1245,B01AC19,2352,Beraprost
1246,D08AJ06,23558,Didecyldimethylammonium chloride
1247,D05BA03,2355,Bergapten
1248,C02BA01,23576,Trimetaphan
1249,G03DC01,235905,Allylestrenol
1250,J05AP06,23595629,Asunaprevir
1251,H03AA01,23615408,Levothyroxine sodium
1252,J04AA03,23616585,Calcium aminosalicylate
1253,B03AA03,23616740,Ferrous gluconate
1254,D06BX03,23635314,Tirbanibulin
1255,A16AX10,23652731,Eliglustat
1256,R05CB05,23662354,Mesna
1257,V09CX02,23663553,Sodium iodohippurate (131I)
1258,D11AX23,23663628,Aminobenzoate potassium
1259,N01AX11,23663870,Sodium oxybate
1260,L03AX15,23663962,Mifamurtide
1261,C01CE04,23663967,Bucladesine
1262,N02BA12,23664627,Potassium salicylate
1263,D08AX07,23665760,Sodium hypochlorite
1264,C05BB04,23665770,Sodium tetradecyl sulfate
1265,H03AA02,23666110,Liothyronine sodium
1266,H03AA01,23666112,Levothyroxine sodium
1267,A12BA03,23666342,Potassium hydrogentartrate
1268,G03CA57,23667301,Conjugated estrogens
1269,H03AA01,23667619,Levothyroxine sodium
1270,V09CX01,23667636,Sodium iodohippurate (123I)
1271,V03AB08,23668193,Sodium nitrite
1272,D03AX11,23668197,Sodium chlorite
1273,V04CG30,23669229,Caffeine and sodium benzoate
1274,N07CA01,2366,Betahistine
1275,B05XA15,23671663,Potassium lactate
1276,C03DA02,23671691,Potassium canrenoate
1277,V08AC08,23671932,Sodium iopodate
1278,A06AA02,23673837,Docusate sodium
1279,J01DD04,23679441,Ceftriaxone
1280,A12BA03,23681127,Potassium hydrogentartrate
1281,C03BC01,23681223,Mersalyl
1282,C02CC01,2368,Betanidine
1283,C03BC01,23690449,Mersalyl
1284,V09IX06,23690531,Sodium fluoride (18F)
1285,N05BA05,23691043,Potassium clorazepate
1286,A02AB04,23697815,Dihydroxialumini sodium carbonate
1287,C07AB05,2369,Betaxolol
1288,N07AB02,2370,Bethanechol
1289,L01CB02,23724511,Teniposide
1290,L01EG01,23724530,Temsirolimus
1291,J01XA04,23724878,Dalbavancin
1292,V09CX03,23724931,Sodium iothalamate (125I)
1293,D08AK01,23724951,Mercuric amidochloride
1294,L03AX15,23725094,Mifamurtide
1295,L01XK01,23725625,Olaparib
1296,C07AB06,2372,Bevantolol
1297,P01BE01,23757058,Artemisinin
1298,L02BB03,2375,Bicalutamide
1299,N06AX08,2377,Bifemelane
1300,D01AC10,2378,Bifonazole
1301,P01AX05,237,Mepacrine
1302,B03BA01,23806828,Cyanocobalamin
1303,N04AA02,2381,Biperiden
1304,A01AB10,23835497,Natamycin
1305,N05AE02,23897,Molindone
1306,A06AB02,2391,Bisacodyl
1307,D08AK05,23931,"Mercury, metallic"
1308,D08AL30,23954,Silver
1309,J01FA15,23958736,Telithromycin
1310,D11AC02,23973,Cadmium compounds
1311,V03AN03,23987,Helium
1312,N01AX15,23991,Xenon
1313,D01AE13,24011,Selenium sulfide
1314,D10AX01,24012,Aluminium chloride
1315,C07AB07,2405,Bisoprolol
1316,J05AF03,24066,Zalcitabine
1317,D10AB01,2406,Bithionol
1318,A06AD04,24083,Magnesium sulfate
1319,D08AK03,24085,Mercuric chloride
1320,C01BA01,24096961,Quinidine
1321,D08AX02,24180873,Eosin
1322,B03AB03,24181146,Sodium feredetate
1323,L01CA01,241903,Vinblastine
1324,A03BB05,24199034,Cimetropium bromide
1325,M01CB03,24199313,Auranofin
1326,A03AB10,24199,Hexocyclium
1327,A06AD17,24243,Sodium phosphate
1328,A01AA02,24266,Sodium monofluorophosphate
1329,D11AX21,2435,Brimonidine
1330,B03AA07,24393,Ferrous sulfate
1331,N05BA08,2441,Bromazepam
1332,A12CB01,24424,Zinc sulfate
1333,R05CB02,2442,Bromhexine
1334,A06AD13,24436,Sodium sulfate
1335,B05XA10,24439,Magnesium phosphate
1336,R06AA01,2444,Bromazine
1337,A12AA01,24456,Calcium phosphate
1338,B03AA05,24458,Ferrous chloride
1339,V03AB20,24462,Copper sulfate
1340,A03FA04,2446,Bromopride
1341,D08AL01,24470,Silver nitrate
1342,N05CM03,2447,Bromisoval
1343,G03GB03,244809,Epimestrol
1344,D08AK30,24485,Mercuric iodide
1345,N05AD06,2448,Bromperidol
1346,R03DX06,2449,Seratrodast
1347,P03AX06,244,Benzyl alcohol
1348,N05CD09,2451,Brotizolam
1349,A07AX01,2453,Broxyquinoline
1350,A01AA04,24550,Stannous fluoride
1351,M01AB17,2466,Bufexamac
1352,C04AX20,2467,Buflomedil
1353,A10BA03,2468,Buformin
1354,P03AX05,24705,Dimeticone
1355,C03CA02,2471,Bumetanide
1356,A11DA02,24739911,Sulbutiamine
1357,N01BB01,2474,Bupivacaine
1358,C07AA19,2475,Bupranolol
1359,M01AX25,24766,Chondroitin sulfate
1360,L01XJ02,24775005,Sonidegib
1361,L01XJ01,24776445,Vismodegib
1362,N05BE01,2477,Buspirone
1363,S01BA08,247839,Medrysone
1364,L01AB01,2478,Busulfan
1365,L01CD01,24791027,Paclitaxel
1366,N07XX13,24795069,Valbenazine
1367,A16AA06,247,Betaine
1368,A10BK02,24812758,Canagliflozin
1369,L01EL01,24821094,Ibrutinib
1370,V09AX05,24822371,Florbetapir (18F)
1371,L01EA05,24826799,Ponatinib
1372,A10BK06,24831714,Sotagliflozin
1373,N04AA08,24835791,Dexetimide
1374,V08CA03,24838310,Gadodiamide
1375,V08CA08,24838350,Gadobenic acid
1376,A07AA02,24840667,Nystatin
1377,A16AX30,24847771,Sodium benzoate and sodium phenylacetate
1378,J01FA15,24847865,Telithromycin
1379,L01EG01,24847874,Temsirolimus
1380,V08CA03,24847884,Gadodiamide
1381,A02BD07,24847953,"Lansoprazole, amoxicillin and clarithromycin"
1382,A10BH02,24848920,Vildagliptin
1383,D01AE23,2484,Butenafine
1384,C01BA01,24867865,Quinidine
1385,M05BX03,24871329,Strontium ranelate
1386,L02BB05,24872560,Apalutamide
1387,J05AP05,24873435,Simeprevir
1388,L01EX11,24889392,Quizartinib
1389,B03BA04,24892716,Cobamamide
1390,B03BA01,24892734,Cyanocobalamin
1391,B03BA03,24892771,Hydroxocobalamin
1392,A03AA06,24892842,Rociverine
1393,M03AA04,24892848,Dimethyltubocurarine
1394,A12CE02,24934,Sodium selenite
1395,L01XK02,24958200,Niraparib
1396,N05CM19,24965990,Suvorexant
1397,B03AA03,24978524,Ferrous gluconate
1398,D11AX04,25021852,Lithium succinate
1399,A10BH07,25022354,Evogliptin
1400,A16AX15,25025298,Telotristat
1401,L02AE04,25074470,Triptorelin
1402,H01CC02,25074887,Cetrorelix
1403,H01CA02,25077405,Nafarelin
1404,L02AE05,25077993,Histrelin
